time_tag,density,speed,temperature
2025-12-26 03:26:00,1.78,530.6,92460.0
2025-12-26 03:27:00,2.32,534.3,120617.0
2025-12-26 03:28:00,2.15,533.5,128802.0
2025-12-26 03:29:00,1.65,531.3,153358.0
2025-12-26 03:30:00,2.17,530.3,136085.0
2025-12-26 03:31:00,2.16,530.3,135400.0
2025-12-26 03:32:00,2.12,529.6,122398.0
2025-12-26 03:33:00,2.06,528.0,127407.0
2025-12-26 03:34:00,2.06,528.0,127492.0
2025-12-26 03:35:00,2.22,528.5,148718.0
2025-12-26 03:36:00,2.13,527.6,138744.0
2025-12-26 03:37:00,2.16,525.8,137960.0
2025-12-26 03:38:00,2.18,525.2,138740.0
2025-12-26 03:39:00,2.18,526.4,132563.0
2025-12-26 03:40:00,2.1,527.6,135821.0
2025-12-26 03:41:00,2.65,531.8,125282.0
2025-12-26 03:42:00,3.42,535.6,108677.0
2025-12-26 03:43:00,1.58,532.4,175063.0
2025-12-26 03:44:00,1.59,531.3,168738.0
2025-12-26 03:45:00,1.59,527.8,149763.0
2025-12-26 03:46:00,1.4,533.0,159816.0
2025-12-26 03:47:00,1.41,532.9,159802.0
2025-12-26 03:48:00,1.63,532.5,159539.0
2025-12-26 03:49:00,2.1,527.0,133960.0
2025-12-26 03:50:00,2.1,526.9,133526.0
2025-12-26 03:51:00,1.49,525.9,134560.0
2025-12-26 03:52:00,1.52,526.7,158392.0
2025-12-26 03:53:00,1.43,525.1,130320.0
2025-12-26 03:54:00,1.4,524.4,116616.0
2025-12-26 03:55:00,1.35,526.7,161486.0
2025-12-26 03:56:00,1.35,526.7,161486.0
2025-12-26 03:57:00,1.98,541.5,222710.0
2025-12-26 04:02:00,1.22,525.1,149549.0
2025-12-26 04:03:00,1.24,525.2,151252.0
2025-12-26 04:04:00,1.55,527.3,183613.0
2025-12-26 04:05:00,1.55,,
2025-12-26 04:07:00,1.41,524.8,150614.0
2025-12-26 04:08:00,1.45,526.0,172975.0
2025-12-26 04:09:00,1.46,526.3,179159.0
2025-12-26 04:11:00,1.3,533.2,175036.0
2025-12-26 04:12:00,1.36,525.7,121149.0
2025-12-26 04:13:00,1.41,518.7,70740.0
2025-12-26 04:15:00,1.94,524.8,126546.0
2025-12-26 04:16:00,1.96,524.4,116720.0
2025-12-26 04:17:00,1.99,523.1,87240.0
2025-12-26 04:19:00,1.84,,
2025-12-26 04:20:00,1.84,525.6,140410.0
2025-12-26 04:21:00,1.75,528.5,175005.0
2025-12-26 04:22:00,1.75,528.5,175591.0
2025-12-26 04:23:00,2.0,523.1,130796.0
2025-12-26 04:24:00,2.03,524.6,128553.0
2025-12-26 04:25:00,2.04,525.0,127932.0
2025-12-26 04:27:00,1.97,522.1,116289.0
2025-12-26 04:28:00,1.97,522.3,117142.0
2025-12-26 04:29:00,1.97,522.4,117940.0
2025-12-26 04:31:00,1.74,523.3,121851.0
2025-12-26 04:32:00,1.59,519.0,113795.0
2025-12-26 04:33:00,1.13,506.1,89629.0
2025-12-26 04:35:00,1.96,,
2025-12-26 04:36:00,1.96,525.9,126956.0
2025-12-26 04:37:00,1.47,510.9,64221.0
2025-12-26 04:38:00,1.47,510.6,63158.0
2025-12-26 04:39:00,2.19,531.1,152328.0
2025-12-26 04:40:00,1.4,545.1,129730.0
2025-12-26 04:41:00,1.18,549.0,123479.0
2025-12-26 04:43:00,1.53,542.8,161574.0
2025-12-26 04:44:00,1.41,539.6,141443.0
2025-12-26 04:45:00,1.29,536.6,122610.0
2025-12-26 04:47:00,1.26,545.3,133196.0
2025-12-26 04:48:00,1.32,544.8,133274.0
2025-12-26 04:49:00,1.49,543.0,133506.0
2025-12-26 04:50:00,1.51,540.8,119496.0
2025-12-26 04:51:00,1.5,540.8,119815.0
2025-12-26 04:52:00,1.35,541.8,125870.0
2025-12-26 04:53:00,0.96,521.5,85544.0
2025-12-26 04:54:00,0.96,521.1,84860.0
2025-12-26 04:55:00,1.36,545.7,124811.0
2025-12-26 04:56:00,1.15,544.0,131932.0
2025-12-26 04:57:00,1.09,543.6,133901.0
2025-12-26 04:59:00,2.03,521.7,109005.0
2025-12-26 05:00:00,2.03,521.7,109005.0
2025-12-26 05:03:00,1.92,525.6,110791.0
2025-12-26 05:04:00,1.91,524.6,108650.0
2025-12-26 05:05:00,1.85,521.8,102225.0
2025-12-26 05:06:00,2.04,527.3,130913.0
2025-12-26 05:07:00,2.04,527.2,130309.0
2025-12-26 05:08:00,2.11,526.3,118837.0
2025-12-26 05:09:00,2.11,,
2025-12-26 05:11:00,2.12,525.0,136483.0
2025-12-26 05:12:00,2.07,526.0,130362.0
2025-12-26 05:13:00,2.06,526.2,128669.0
2025-12-26 05:15:00,2.19,524.0,134898.0
2025-12-26 05:16:00,2.13,524.6,126134.0
2025-12-26 05:17:00,2.09,525.2,117936.0
2025-12-26 05:19:00,2.1,525.1,136708.0
2025-12-26 05:20:00,2.03,525.4,141009.0
2025-12-26 05:21:00,1.82,526.4,153912.0
2025-12-26 05:23:00,2.17,,
2025-12-26 05:24:00,2.17,523.9,139510.0
2025-12-26 05:25:00,2.61,535.9,178283.0
2025-12-26 05:26:00,2.62,536.1,178940.0
2025-12-26 05:27:00,2.06,522.9,124974.0
2025-12-26 05:28:00,2.12,521.6,130066.0
2025-12-26 05:29:00,2.14,521.3,131474.0
2025-12-26 05:31:00,1.67,516.8,86558.0
2025-12-26 05:32:00,1.87,517.6,101967.0
2025-12-26 05:33:00,2.06,518.4,116383.0
2025-12-26 05:36:00,2.11,517.9,110349.0
2025-12-26 05:37:00,2.11,517.9,110349.0
2025-12-26 05:39:00,2.02,,
2025-12-26 05:40:00,2.02,526.3,111910.0
2025-12-26 05:41:00,1.58,527.3,138246.0
2025-12-26 05:42:00,1.57,527.3,138692.0
2025-12-26 05:43:00,2.04,520.3,120758.0
2025-12-26 05:44:00,1.96,520.0,136062.0
2025-12-26 05:45:00,1.93,520.0,140295.0
2025-12-26 05:47:00,1.56,520.5,154389.0
2025-12-26 05:48:00,1.48,520.7,143903.0
2025-12-26 05:49:00,1.41,521.0,134094.0
2025-12-26 05:51:00,1.52,528.6,161924.0
2025-12-26 05:52:00,1.48,528.0,149294.0
2025-12-26 05:53:00,1.38,526.0,111402.0
2025-12-26 05:54:00,1.25,531.5,144134.0
2025-12-26 05:55:00,1.25,531.4,144496.0
2025-12-26 05:56:00,1.31,529.7,151364.0
2025-12-26 05:57:00,1.27,537.4,164191.0
2025-12-26 05:58:00,1.27,537.5,164409.0
2025-12-26 05:59:00,1.22,530.0,131954.0
